
2024/10/19 (16:53:24) | ===> btop++ v.1.4.0
2024/10/19 (16:53:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (21:11:39) | ===> btop++ v.1.4.0
2024/10/19 (21:11:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (21:11:58) | ===> btop++ v.1.4.0
2024/10/19 (21:11:58) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/19 (21:21:46) | ERROR: Stall in Runner thread, restarting!

2024/10/19 (21:23:05) | ===> btop++ v.1.4.0
2024/10/19 (21:23:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:10:10) | ===> btop++ v.1.4.0
2024/10/20 (14:10:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (15:10:41) | ===> btop++ v.1.4.0
2024/10/20 (15:10:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (15:40:22) | ===> btop++ v.1.4.0
2024/10/21 (15:40:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (15:59:10) | ===> btop++ v.1.4.0
2024/10/21 (15:59:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (16:10:37) | ===> btop++ v.1.4.0
2024/10/21 (16:10:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (16:40:26) | ===> btop++ v.1.4.0
2024/10/21 (16:40:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (17:10:29) | ===> btop++ v.1.4.0
2024/10/21 (17:10:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:11:53) | ===> btop++ v.1.4.0
2024/10/22 (09:11:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:15:23) | ===> btop++ v.1.4.0
2024/10/22 (09:15:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:16:57) | ===> btop++ v.1.4.0
2024/10/22 (09:16:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:18:04) | ===> btop++ v.1.4.0
2024/10/22 (09:18:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:19:07) | ===> btop++ v.1.4.0
2024/10/22 (09:19:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:19:22) | ===> btop++ v.1.4.0
2024/10/22 (09:19:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:20:36) | ===> btop++ v.1.4.0
2024/10/22 (09:20:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:22:51) | ===> btop++ v.1.4.0
2024/10/22 (09:22:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:26:22) | ===> btop++ v.1.4.0
2024/10/22 (09:26:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:27:08) | ===> btop++ v.1.4.0
2024/10/22 (09:27:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:28:54) | ===> btop++ v.1.4.0
2024/10/22 (09:28:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:29:43) | ===> btop++ v.1.4.0
2024/10/22 (09:29:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:30:49) | ===> btop++ v.1.4.0
2024/10/22 (09:30:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:31:10) | ===> btop++ v.1.4.0
2024/10/22 (09:31:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (12:58:03) | ===> btop++ v.1.4.0
2024/10/22 (12:58:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (13:37:47) | ===> btop++ v.1.4.0
2024/10/22 (13:37:47) | WARNING: Intel GPU: Failed to initialize PMU
